Dato/klokkeslett,NO1,NO2,NO3,NO4,NO5
2023-12-24 Kl. 00-01,0.75814,0.75814,0.78553,0.32887,0.76866
2023-12-24 Kl. 01-02,0.63510,0.63510,0.74859,0.32842,0.74859
2023-12-24 Kl. 02-03,0.62204,0.62204,0.74283,0.32741,0.74283
2023-12-24 Kl. 03-04,0.57091,0.57091,0.74184,0.32168,0.74184
2023-12-24 Kl. 04-05,0.53525,0.53525,0.74100,0.32303,0.74100
2023-12-24 Kl. 05-06,0.43708,0.43708,0.74213,0.33955,0.74213
2023-12-24 Kl. 06-07,0.44929,0.44929,0.73931,0.35943,0.73931
2023-12-24 Kl. 07-08,0.60336,0.60336,0.71263,0.43629,0.73904
2023-12-24 Kl. 08-09,0.72823,0.71740,0.72823,0.43629,0.74001
2023-12-24 Kl. 09-10,0.75715,0.73636,0.75715,0.47505,0.75715
2023-12-24 Kl. 10-11,0.77232,0.75323,0.77232,0.49775,0.77232
2023-12-24 Kl. 11-12,0.75729,0.75729,0.75729,0.48213,0.75729
2023-12-24 Kl. 12-13,0.74044,0.74044,0.74044,0.45044,0.74044
2023-12-24 Kl. 13-14,0.73960,0.73960,0.71544,0.43842,0.73960
2023-12-24 Kl. 14-15,0.71066,0.71066,0.70167,0.43629,0.73931
2023-12-24 Kl. 15-16,0.70111,0.70111,0.69620,0.43629,0.75758
2023-12-24 Kl. 16-17,0.65238,0.65238,0.65238,0.35887,0.75800
2023-12-24 Kl. 17-18,0.61783,0.61783,0.55547,0.28011,0.75350
2023-12-24 Kl. 18-19,0.62429,0.62429,0.50196,0.26898,0.73889
2023-12-24 Kl. 19-20,0.50491,0.50491,0.45589,0.26685,0.73848
2023-12-24 Kl. 20-21,0.42120,0.42120,0.42120,0.26898,0.73848
2023-12-24 Kl. 21-22,0.42120,0.42120,0.42120,0.26876,0.74494
2023-12-24 Kl. 22-23,0.40701,0.40701,0.40701,0.26786,0.74521
2023-12-24 Kl. 23-00,0.33145,0.33145,0.43694,0.26516,0.74578
2023-12-25 Kl. 00-01,0.54409,0.54409,0.56278,0.25382,0.69156
2023-12-25 Kl. 01-02,0.53581,0.53581,0.57541,0.26033,0.68089
2023-12-25 Kl. 02-03,0.44410,0.44410,0.58188,0.25977,0.68398
2023-12-25 Kl. 03-04,0.42134,0.42134,0.60210,0.25955,0.68300
2023-12-25 Kl. 04-05,0.37640,0.37640,0.61179,0.26045,0.68174
2023-12-25 Kl. 05-06,0.31081,0.31081,0.62584,0.24865,0.68778
2023-12-25 Kl. 06-07,0.29086,0.29086,0.65323,0.23269,0.67471
2023-12-25 Kl. 07-08,0.50266,0.50266,0.68188,0.26123,0.68188
2023-12-25 Kl. 08-09,0.69494,0.69494,0.71965,0.25910,0.71965
2023-12-25 Kl. 09-10,0.77400,0.77400,0.77400,0.26404,0.77400
2023-12-25 Kl. 10-11,0.81404,0.81404,0.81404,0.26831,0.81404
2023-12-25 Kl. 11-12,0.84128,0.84128,0.84128,0.29112,0.84128
2023-12-25 Kl. 12-13,0.84381,0.84381,0.83215,0.36674,0.84381
2023-12-25 Kl. 13-14,0.84240,0.84240,0.82176,0.36089,0.84240
2023-12-25 Kl. 14-15,0.82976,0.82976,0.82260,0.37056,0.82976
2023-12-25 Kl. 15-16,0.81305,0.81305,0.81305,0.37954,0.81305
2023-12-25 Kl. 16-17,0.79943,0.79943,0.79943,0.39314,0.79943
2023-12-25 Kl. 17-18,0.77120,0.77120,0.77120,0.43572,0.77120
2023-12-25 Kl. 18-19,0.73496,0.73496,0.73496,0.42718,0.73496
2023-12-25 Kl. 19-20,0.68285,0.68285,0.74535,0.39415,0.74535
2023-12-25 Kl. 20-21,0.68890,0.68890,0.74971,0.37595,0.74971
2023-12-25 Kl. 21-22,0.70238,0.70238,0.75828,0.38337,0.75828
2023-12-25 Kl. 22-23,0.70167,0.70167,0.75476,0.38999,0.75476
2023-12-25 Kl. 23-00,0.70140,0.70140,0.74900,0.37707,0.74900
2023-12-26 Kl. 00-01,0.66586,0.66586,0.76361,0.34415,0.76361
2023-12-26 Kl. 01-02,0.64535,0.64535,0.70913,0.31539,0.70913
2023-12-26 Kl. 02-03,0.63679,0.63679,0.70870,0.30662,0.70870
2023-12-26 Kl. 03-04,0.62920,0.62920,0.70111,0.31988,0.70111
2023-12-26 Kl. 04-05,0.62528,0.62528,0.69803,0.34831,0.69803
2023-12-26 Kl. 05-06,0.56825,0.56825,0.70519,0.37662,0.70519
2023-12-26 Kl. 06-07,0.54958,0.54958,0.69325,0.38033,0.69325
2023-12-26 Kl. 07-08,0.70140,0.70140,0.70140,0.41179,0.70140
2023-12-26 Kl. 08-09,0.76755,0.76755,0.76755,0.43865,0.76755
2023-12-26 Kl. 09-10,0.80308,0.80308,0.80308,0.49808,0.80308
2023-12-26 Kl. 10-11,0.83426,0.83426,0.83426,0.54774,0.83426
2023-12-26 Kl. 11-12,0.84985,0.84985,0.82668,0.51628,0.84985
2023-12-26 Kl. 12-13,0.85420,0.85420,0.80294,0.50999,0.85420
2023-12-26 Kl. 13-14,0.85378,0.85378,0.77794,0.51145,0.85378
2023-12-26 Kl. 14-15,0.85828,0.85828,0.70167,0.49539,0.85828
2023-12-26 Kl. 15-16,0.86993,0.86993,0.67373,0.48145,0.86993
2023-12-26 Kl. 16-17,0.87485,0.87485,0.66656,0.50516,0.87485
2023-12-26 Kl. 17-18,0.87668,0.87668,0.74269,0.47853,0.87668
2023-12-26 Kl. 18-19,0.87231,0.87231,0.74368,0.43988,0.87231
2023-12-26 Kl. 19-20,0.86769,0.86769,0.69409,0.35741,0.86769
2023-12-26 Kl. 20-21,0.86474,0.86474,0.59030,0.34584,0.86474
2023-12-26 Kl. 21-22,0.86024,0.86024,0.57246,0.28101,0.86024
2023-12-26 Kl. 22-23,0.85603,0.85603,0.53244,0.26573,0.85603
2023-12-26 Kl. 23-00,0.85026,0.85026,0.47753,0.25696,0.85026
2023-12-27 Kl. 00-01,0.83833,0.83833,0.49311,0.25460,0.83833
2023-12-27 Kl. 01-02,0.83355,0.83355,0.43679,0.25494,0.83355
2023-12-27 Kl. 02-03,0.83370,0.83370,0.43089,0.25438,0.83370
2023-12-27 Kl. 03-04,0.77176,0.77176,0.43510,0.25348,0.77176
2023-12-27 Kl. 04-05,0.78539,0.78539,0.45715,0.25382,0.78539
2023-12-27 Kl. 05-06,0.85125,0.85125,0.47514,0.25382,0.85125
2023-12-27 Kl. 06-07,0.87738,0.87738,0.51291,0.25651,0.87738
2023-12-27 Kl. 07-08,0.97470,0.97470,0.53104,0.25707,0.97470
2023-12-27 Kl. 08-09,1.09156,1.09156,0.52879,0.26056,1.09156
2023-12-27 Kl. 09-10,1.09339,1.09339,0.53019,0.26887,1.09339
2023-12-27 Kl. 10-11,1.03074,1.03074,0.58764,0.27943,1.03074
2023-12-27 Kl. 11-12,1.01880,1.01880,0.61503,0.39842,1.01880
2023-12-27 Kl. 12-13,1.01150,1.01150,0.64564,0.42943,1.01150
2023-12-27 Kl. 13-14,0.99366,0.99366,0.69521,0.43011,0.99366
2023-12-27 Kl. 14-15,1.02906,1.02906,0.76740,0.42943,1.02906
2023-12-27 Kl. 15-16,1.09029,1.09029,0.80308,0.42909,1.09029
2023-12-27 Kl. 16-17,1.08790,1.08790,0.88945,0.42674,1.08790
2023-12-27 Kl. 17-18,1.12470,1.12470,0.97274,0.43303,1.12470
2023-12-27 Kl. 18-19,1.04423,1.04423,0.97878,0.43741,1.04423
2023-12-27 Kl. 19-20,0.91080,0.90209,0.91080,0.44370,0.91080
2023-12-27 Kl. 20-21,0.84086,0.84086,0.84086,0.45842,0.84086
2023-12-27 Kl. 21-22,0.80589,0.80589,0.80589,0.41471,0.80589
2023-12-27 Kl. 22-23,0.78553,0.78553,0.78553,0.37438,0.78553
2023-12-27 Kl. 23-00,0.62836,0.62836,0.73229,0.35337,0.73229
2023-12-28 Kl. 00-01,0.53536,0.53536,0.79191,0.33739,0.84964
2023-12-28 Kl. 01-02,0.41795,0.41795,0.63429,0.33436,0.84249
2023-12-28 Kl. 02-03,0.38868,0.38868,0.59043,0.31094,0.83941
2023-12-28 Kl. 03-04,0.35519,0.35519,0.41179,0.28415,0.83759
2023-12-28 Kl. 04-05,0.42034,0.42034,0.42034,0.33627,0.83170
2023-12-28 Kl. 05-06,0.46728,0.46728,0.46728,0.37382,0.83675
2023-12-28 Kl. 06-07,0.51155,0.51155,0.51155,0.40924,0.84375
2023-12-28 Kl. 07-08,0.54490,0.54490,0.54490,0.43592,0.84319
2023-12-28 Kl. 08-09,0.62531,0.62531,0.59029,0.47223,0.81797
2023-12-28 Kl. 09-10,0.77903,0.77903,0.55975,0.44780,0.82596
2023-12-28 Kl. 10-11,0.82596,0.82596,0.54461,0.43569,0.82596
2023-12-28 Kl. 11-12,0.82260,0.82260,0.52683,0.42146,0.82750
2023-12-28 Kl. 12-13,0.85735,0.85735,0.52471,0.41977,0.85735
2023-12-28 Kl. 13-14,0.86618,0.86618,0.54938,0.43950,0.86618
2023-12-28 Kl. 14-15,0.87121,0.87121,0.55484,0.44387,0.87121
2023-12-28 Kl. 15-16,0.87346,0.87346,0.57165,0.45732,0.87346
2023-12-28 Kl. 16-17,0.88663,0.88663,0.57909,0.46327,0.88663
2023-12-28 Kl. 17-18,0.89475,0.89475,0.65614,0.52491,0.89475
2023-12-28 Kl. 18-19,0.89489,0.89489,0.64311,0.51449,0.89489
2023-12-28 Kl. 19-20,0.88186,0.88186,0.57040,0.44275,0.88186
2023-12-28 Kl. 20-21,0.86925,0.86925,0.57376,0.41126,0.86925
2023-12-28 Kl. 21-22,0.83759,0.83759,0.57221,0.37684,0.83759
2023-12-28 Kl. 22-23,0.78365,0.78365,0.58216,0.34714,0.82260
2023-12-28 Kl. 23-00,0.69971,0.69971,0.54545,0.28885,0.82105
2023-12-29 Kl. 00-01,0.63470,0.63470,0.33159,0.26527,0.79436
2023-12-29 Kl. 01-02,0.65119,0.65119,0.37218,0.23483,0.80833
2023-12-29 Kl. 02-03,0.61976,0.61976,0.28424,0.22559,0.79380
2023-12-29 Kl. 03-04,0.60469,0.60469,0.41557,0.21251,0.78338
2023-12-29 Kl. 04-05,0.62780,0.62780,0.46208,0.22716,0.78253
2023-12-29 Kl. 05-06,0.53521,0.53521,0.52394,0.23652,0.81523
2023-12-29 Kl. 06-07,0.54198,0.54198,0.55875,0.27846,0.80734
2023-12-29 Kl. 07-08,0.67290,0.67290,0.62048,0.35140,0.81565
2023-12-29 Kl. 08-09,0.78732,0.78732,0.63499,0.36312,0.78732
2023-12-29 Kl. 09-10,0.85708,0.85708,0.66500,0.36222,0.85708
2023-12-29 Kl. 10-11,0.87428,0.87428,0.69094,0.36042,0.87428
2023-12-29 Kl. 11-12,0.88554,0.88554,0.69643,0.36853,0.88554
2023-12-29 Kl. 12-13,0.89668,0.89668,0.70038,0.36312,0.89668
2023-12-29 Kl. 13-14,0.90218,0.90218,0.71151,0.34678,0.90218
2023-12-29 Kl. 14-15,0.91190,0.91190,0.71870,0.34836,0.91190
2023-12-29 Kl. 15-16,0.92979,0.92979,0.70278,0.34554,0.92979
2023-12-29 Kl. 16-17,0.93585,0.93585,0.71066,0.37226,0.93585
2023-12-29 Kl. 17-18,0.95150,0.95150,0.70925,0.40112,0.95150
2023-12-29 Kl. 18-19,0.94854,0.94854,0.71489,0.34768,0.94854
2023-12-29 Kl. 19-20,0.93585,0.93585,0.72461,0.31386,0.93585
2023-12-29 Kl. 20-21,0.90555,0.90555,0.71616,0.33843,0.90555
2023-12-29 Kl. 21-22,0.89118,0.89118,0.69981,0.31713,0.89118
2023-12-29 Kl. 22-23,0.86891,0.86891,0.69150,0.28567,0.86891
2023-12-29 Kl. 23-00,0.85045,0.85045,0.67684,0.21814,0.85045
2023-12-30 Kl. 00-01,0.81654,0.81654,0.71348,0.24872,0.81654
2023-12-30 Kl. 01-02,0.83960,0.83960,0.69969,0.24928,0.83960
2023-12-30 Kl. 02-03,0.82934,0.82934,0.70081,0.24894,0.82934
2023-12-30 Kl. 03-04,0.84635,0.84635,0.70320,0.24815,0.84635
2023-12-30 Kl. 04-05,0.83186,0.83186,0.71895,0.24782,0.83186
2023-12-30 Kl. 05-06,0.82891,0.82891,0.74793,0.24444,0.82891
2023-12-30 Kl. 06-07,0.84565,0.84565,0.75018,0.24827,0.84565
2023-12-30 Kl. 07-08,0.85746,0.85746,0.75018,0.28449,0.85746
2023-12-30 Kl. 08-09,0.88361,0.88361,0.78546,0.32408,0.88361
2023-12-30 Kl. 09-10,0.89064,0.89064,0.87475,0.40013,0.89064
2023-12-30 Kl. 10-11,0.88699,0.88699,0.88699,0.42915,0.88699
2023-12-30 Kl. 11-12,0.88643,0.88643,0.88643,0.44591,0.88643
2023-12-30 Kl. 12-13,0.88699,0.88699,0.88699,0.40924,0.88699
2023-12-30 Kl. 13-14,0.88868,0.88868,0.88868,0.37403,0.88868
2023-12-30 Kl. 14-15,0.88460,0.88460,0.88460,0.47291,0.88460
2023-12-30 Kl. 15-16,0.88670,0.88670,0.88670,0.49957,0.88670
2023-12-30 Kl. 16-17,0.98415,0.98415,0.98415,0.50013,0.98415
2023-12-30 Kl. 17-18,1.12378,1.12378,1.12378,0.49979,1.12378
2023-12-30 Kl. 18-19,1.12476,1.12476,1.12476,0.49979,1.12476
2023-12-30 Kl. 19-20,0.99961,0.99961,0.99961,0.50013,0.99961
2023-12-30 Kl. 20-21,0.91483,0.91483,0.89401,0.50047,0.91483
2023-12-30 Kl. 21-22,0.87531,0.87531,0.86196,0.50013,0.87531
2023-12-30 Kl. 22-23,0.85788,0.85788,0.77829,0.50013,0.85788
2023-12-30 Kl. 23-00,0.84606,0.84606,0.74863,0.48630,0.84606
2023-12-31 Kl. 00-01,0.73639,0.73639,0.87379,0.44520,0.87379
2023-12-31 Kl. 01-02,0.70021,0.70021,0.85121,0.42400,0.85121
2023-12-31 Kl. 02-03,0.63670,0.63670,0.77789,0.42781,0.84126
2023-12-31 Kl. 03-04,0.57696,0.57696,0.74578,0.42781,0.82879
2023-12-31 Kl. 04-05,0.53476,0.53476,0.70975,0.42781,0.82444
2023-12-31 Kl. 05-06,0.55060,0.55060,0.67638,0.44048,0.84113
2023-12-31 Kl. 06-07,0.56098,0.56098,0.63151,0.44878,0.85150
2023-12-31 Kl. 07-08,0.61791,0.61791,0.62926,0.48771,0.80804
2023-12-31 Kl. 08-09,0.73736,0.73736,0.67638,0.48109,0.73736
2023-12-31 Kl. 09-10,0.82780,0.82780,0.62548,0.50038,0.82780
2023-12-31 Kl. 10-11,0.87169,0.87169,0.60991,0.47391,0.87169
2023-12-31 Kl. 11-12,0.88346,0.88346,0.60879,0.48703,0.88346
2023-12-31 Kl. 12-13,0.88683,0.88683,0.60725,0.47974,0.88683
2023-12-31 Kl. 13-14,0.88753,0.88753,0.61075,0.48860,0.88753
2023-12-31 Kl. 14-15,0.88739,0.88739,0.60865,0.46449,0.88739
2023-12-31 Kl. 15-16,0.89075,0.89075,0.63894,0.51115,0.89075
2023-12-31 Kl. 16-17,0.89469,0.89469,0.71045,0.51586,0.89469
2023-12-31 Kl. 17-18,0.89328,0.89328,0.70105,0.49859,0.89328
2023-12-31 Kl. 18-19,0.88698,0.88698,0.63585,0.47795,0.88698
2023-12-31 Kl. 19-20,0.88164,0.88164,0.55579,0.42781,0.88164
2023-12-31 Kl. 20-21,0.87771,0.87771,0.48919,0.39135,0.87771
2023-12-31 Kl. 21-22,0.87281,0.87281,0.41503,0.33202,0.87281
2023-12-31 Kl. 22-23,0.86608,0.86608,0.40199,0.32159,0.86608
2023-12-31 Kl. 23-00,0.83159,0.83159,0.37675,0.30140,0.83159
2024-01-01 Kl. 00-01,0.75419,0.75419,0.41446,0.33157,0.77690
2024-01-01 Kl. 01-02,0.68675,0.68675,0.39904,0.31923,0.74886
2024-01-01 Kl. 02-03,0.38488,0.38488,0.37380,0.29904,0.72951
2024-01-01 Kl. 03-04,0.34324,0.34324,0.34324,0.27459,0.71143
2024-01-01 Kl. 04-05,0.33665,0.33665,0.33665,0.26932,0.69881
2024-01-01 Kl. 05-06,0.29766,0.29766,0.29766,0.23813,0.75391
2024-01-01 Kl. 06-07,0.31715,0.31715,0.31715,0.25372,0.80018
2024-01-01 Kl. 07-08,0.35109,0.35109,0.35109,0.28087,0.80229
2024-01-01 Kl. 08-09,0.36791,0.36791,0.36791,0.29433,0.65562
2024-01-01 Kl. 09-10,0.45161,0.45161,0.45161,0.34694,0.65745
2024-01-01 Kl. 10-11,0.66894,0.66894,0.57963,0.37004,0.66894
2024-01-01 Kl. 11-12,0.73625,0.73625,0.61005,0.39887,0.73625
2024-01-01 Kl. 12-13,0.79318,0.79318,0.60319,0.39887,0.79318
2024-01-01 Kl. 13-14,0.83874,0.83874,0.62099,0.42781,0.83874
2024-01-01 Kl. 14-15,0.87015,0.87015,0.64834,0.42781,0.87015
2024-01-01 Kl. 15-16,0.87660,0.87660,0.70960,0.42781,0.87660
2024-01-01 Kl. 16-17,0.88599,0.88599,0.83383,0.44363,0.88599
2024-01-01 Kl. 17-18,0.91123,0.91123,0.91123,0.45148,0.91123
2024-01-01 Kl. 18-19,0.89146,0.89146,0.86566,0.42781,0.89146
2024-01-01 Kl. 19-20,0.88473,0.88473,0.77214,0.42781,0.88473
2024-01-01 Kl. 20-21,0.87141,0.87141,0.67315,0.39887,0.87141
2024-01-01 Kl. 21-22,0.81700,0.81700,0.61706,0.39887,0.81700
2024-01-01 Kl. 22-23,0.73723,0.73723,0.63375,0.39887,0.73723
2024-01-01 Kl. 23-00,0.61735,0.61735,0.53280,0.39270,0.71409
2024-01-02 Kl. 00-01,0.53280,0.53280,0.53280,0.36623,0.84519
2024-01-02 Kl. 01-02,0.47055,0.47055,0.47055,0.36724,0.81953
2024-01-02 Kl. 02-03,0.44909,0.44909,0.44909,0.35927,0.81519
2024-01-02 Kl. 03-04,0.45274,0.45274,0.45274,0.36219,0.80691
2024-01-02 Kl. 04-05,0.51458,0.51458,0.51458,0.37262,0.81462
2024-01-02 Kl. 05-06,0.58496,0.58496,0.58496,0.42826,0.83145
2024-01-02 Kl. 06-07,0.68955,0.68955,0.68955,0.46920,0.82093
2024-01-02 Kl. 07-08,0.86986,0.86986,0.82374,0.49825,0.86986
2024-01-02 Kl. 08-09,0.92076,0.92076,0.92076,0.49848,0.92076
2024-01-02 Kl. 09-10,0.93660,0.93660,0.92693,0.49848,0.93660
2024-01-02 Kl. 10-11,0.99661,0.99661,0.96718,0.49814,0.99661
2024-01-02 Kl. 11-12,1.03110,1.03110,1.03110,0.49814,1.03110
2024-01-02 Kl. 12-13,1.09589,1.09589,1.09589,0.50330,1.09589
2024-01-02 Kl. 13-14,1.10584,1.10584,1.10584,0.52786,1.10584
2024-01-02 Kl. 14-15,1.11103,1.11103,1.11103,0.54817,1.11103
2024-01-02 Kl. 15-16,1.12113,1.12113,1.12113,0.55669,1.12113
2024-01-02 Kl. 16-17,1.14215,1.14215,1.14215,0.52012,1.14215
2024-01-02 Kl. 17-18,1.13459,1.13459,1.13459,0.49881,1.13459
2024-01-02 Kl. 18-19,1.05088,1.05088,1.05088,0.49376,1.05088
2024-01-02 Kl. 19-20,0.93619,0.93619,0.88585,0.47784,0.93619
2024-01-02 Kl. 20-21,0.91025,0.91025,0.80074,0.49870,0.91025
2024-01-02 Kl. 21-22,0.90338,0.90338,0.67358,0.48131,0.90338
2024-01-02 Kl. 22-23,0.87786,0.87786,0.63698,0.45361,0.87786
2024-01-02 Kl. 23-00,0.82949,0.82949,0.59589,0.42826,0.83060
2024-01-03 Kl. 00-01,0.81415,0.81415,0.57271,0.45413,0.81415
2024-01-03 Kl. 01-02,0.81962,0.81962,0.55040,0.42976,0.81962
2024-01-03 Kl. 02-03,0.81991,0.81991,0.52443,0.37878,0.81991
2024-01-03 Kl. 03-04,0.78384,0.78384,0.50773,0.37721,0.78384
2024-01-03 Kl. 04-05,0.76545,0.76545,0.53636,0.40034,0.76545
2024-01-03 Kl. 05-06,0.81991,0.81991,0.59770,0.45087,0.81991
2024-01-03 Kl. 06-07,0.88012,0.88012,0.69400,0.50040,0.88012
2024-01-03 Kl. 07-08,0.90975,0.90975,0.75141,0.50006,0.90975
2024-01-03 Kl. 08-09,0.92084,0.92084,0.89108,0.48366,0.92084
2024-01-03 Kl. 09-10,0.92561,0.92561,0.91228,0.50051,0.92561
2024-01-03 Kl. 10-11,0.93235,0.93235,0.84490,0.52622,0.93235
2024-01-03 Kl. 11-12,0.92546,0.92546,0.84166,0.51286,0.92546
2024-01-03 Kl. 12-13,0.92084,0.92084,0.83943,0.54105,0.92084
2024-01-03 Kl. 13-14,0.91845,0.91453,0.82623,0.55070,0.91845
2024-01-03 Kl. 14-15,0.92309,0.92309,0.91228,0.55879,0.92309
2024-01-03 Kl. 15-16,0.97390,0.97390,0.96618,0.53880,0.97390
2024-01-03 Kl. 16-17,1.03299,1.03299,1.03299,0.51320,1.03299
2024-01-03 Kl. 17-18,1.15498,1.15498,1.15498,0.50287,1.15498
2024-01-03 Kl. 18-19,1.16466,1.16466,1.16466,0.50062,1.16466
2024-01-03 Kl. 19-20,1.10935,1.10935,1.10935,0.50017,1.10935
2024-01-03 Kl. 20-21,1.02794,1.02794,1.02794,0.50017,1.02794
2024-01-03 Kl. 21-22,0.97138,0.97138,0.94624,0.49579,0.97138
2024-01-03 Kl. 22-23,0.91831,0.91831,0.91241,0.47243,0.91831
2024-01-03 Kl. 23-00,0.89542,0.89542,0.81584,0.45166,0.89542
2024-01-04 Kl. 00-01,0.90643,0.90643,0.83111,0.44813,0.90643
2024-01-04 Kl. 01-02,0.89369,0.89369,0.75878,0.42809,0.89369
2024-01-04 Kl. 02-03,0.88633,0.88633,0.77066,0.42809,0.88633
2024-01-04 Kl. 03-04,0.88349,0.88349,0.78114,0.42809,0.88349
2024-01-04 Kl. 04-05,0.87883,0.87883,0.82460,0.42809,0.87883
2024-01-04 Kl. 05-06,0.91265,0.91265,0.83734,0.48347,0.91265
2024-01-04 Kl. 06-07,1.02845,0.99631,1.02845,0.49830,1.02845
2024-01-04 Kl. 07-08,1.20356,1.20356,1.20356,0.48109,1.20356
2024-01-04 Kl. 08-09,1.29488,1.29488,1.29488,0.51744,1.29488
2024-01-04 Kl. 09-10,1.33353,1.33353,1.33353,0.55651,1.33353
2024-01-04 Kl. 10-11,1.30210,1.30210,1.30210,0.56308,1.30210
2024-01-04 Kl. 11-12,1.27973,1.27973,1.27973,0.56546,1.27973
2024-01-04 Kl. 12-13,1.22721,1.22721,1.22721,0.59807,1.22721
2024-01-04 Kl. 13-14,1.21688,1.21688,1.21688,0.60849,1.21688
2024-01-04 Kl. 14-15,1.30394,1.30394,1.30394,0.65447,1.30394
2024-01-04 Kl. 15-16,1.39609,1.39609,1.39609,0.65447,1.39609
2024-01-04 Kl. 16-17,1.49674,1.49674,1.49674,0.64824,1.49674
2024-01-04 Kl. 17-18,1.88604,1.88604,1.88604,0.59819,1.88604
2024-01-04 Kl. 18-19,2.04770,2.04770,2.04770,0.55651,2.04770
2024-01-04 Kl. 19-20,1.76954,1.71815,1.71815,0.52514,1.71815
2024-01-04 Kl. 20-21,1.46645,1.42384,1.42384,0.55651,1.42384
2024-01-04 Kl. 21-22,1.41578,1.37471,1.37471,0.51755,1.37471
2024-01-04 Kl. 22-23,1.34286,1.30394,1.33465,0.49830,1.33465
2024-01-04 Kl. 23-00,1.25750,1.22098,1.25750,0.44870,1.25750
2024-01-05 Kl. 00-01,1.25161,1.25161,1.25161,0.42462,1.25161
2024-01-05 Kl. 01-02,1.17074,1.17074,1.17074,0.41470,1.17074
2024-01-05 Kl. 02-03,1.12720,1.11973,1.12720,0.39948,1.12720
2024-01-05 Kl. 03-04,1.12959,1.06224,1.12959,0.40117,1.12959
2024-01-05 Kl. 04-05,1.16228,1.07450,1.16228,0.40985,1.16228
2024-01-05 Kl. 05-06,1.24189,1.05999,1.24189,0.45313,1.24189
2024-01-05 Kl. 06-07,1.54694,1.10818,1.54694,0.46700,1.54694
2024-01-05 Kl. 07-08,2.32499,1.19018,2.32499,0.49867,2.32499
2024-01-05 Kl. 08-09,4.21304,1.22555,2.80771,0.54286,2.80771
2024-01-05 Kl. 09-10,3.51009,1.29881,3.35778,0.60632,3.35778
2024-01-05 Kl. 10-11,3.60506,1.31728,3.60506,0.66832,3.60506
2024-01-05 Kl. 11-12,2.97454,1.34376,2.97454,0.66832,2.97454
2024-01-05 Kl. 12-13,2.86421,1.26190,2.86421,0.66832,2.86421
2024-01-05 Kl. 13-14,2.77544,1.25246,2.77544,0.66832,2.77544
2024-01-05 Kl. 14-15,2.78784,1.31910,2.78784,0.66843,2.78784
2024-01-05 Kl. 15-16,4.22614,1.36884,4.22614,0.66843,4.22614
2024-01-05 Kl. 16-17,6.33541,1.40871,6.33541,0.66832,6.33541
2024-01-05 Kl. 17-18,7.41484,1.46902,7.41484,0.66832,7.41484
2024-01-05 Kl. 18-19,4.93079,1.57356,4.93079,0.60643,4.93079
2024-01-05 Kl. 19-20,2.56310,1.42239,2.56310,0.60643,2.56310
2024-01-05 Kl. 20-21,2.10786,1.45239,2.10786,0.60643,2.10786
2024-01-05 Kl. 21-22,1.58963,1.36673,1.58963,0.60632,1.58963
2024-01-05 Kl. 22-23,1.41040,1.37730,1.41040,0.57374,1.41040
2024-01-05 Kl. 23-00,1.30854,1.25950,1.30854,0.54804,1.30854
2024-01-06 Kl. 00-01,1.19941,1.19941,1.19941,0.60095,1.19941
2024-01-06 Kl. 01-02,1.17568,1.16960,1.17568,0.53979,1.17568
2024-01-06 Kl. 02-03,1.15914,1.11011,1.15914,0.52781,1.15914
2024-01-06 Kl. 03-04,1.16126,1.06475,1.16126,0.50079,1.16126
2024-01-06 Kl. 04-05,1.16621,1.06475,1.16621,0.52487,1.16621
2024-01-06 Kl. 05-06,1.18881,1.08779,1.18881,0.53335,1.18881
2024-01-06 Kl. 06-07,1.19376,1.09513,1.19376,0.54737,1.19376
2024-01-06 Kl. 07-08,1.23545,1.18698,1.23545,0.59779,1.23545
2024-01-06 Kl. 08-09,1.28406,1.28406,1.28406,0.69399,1.28406
2024-01-06 Kl. 09-10,1.34214,1.34214,1.34214,0.72564,1.34214
2024-01-06 Kl. 10-11,1.41886,1.41886,1.41886,0.69410,1.41886
2024-01-06 Kl. 11-12,1.46465,1.46465,1.46465,0.60095,1.46465
2024-01-06 Kl. 12-13,1.44600,1.44600,1.44600,0.52781,1.44600
2024-01-06 Kl. 13-14,1.38127,1.38127,1.38127,0.50079,1.38127
2024-01-06 Kl. 14-15,1.34963,1.34963,1.34963,0.50034,1.34963
2024-01-06 Kl. 15-16,1.39188,1.38114,1.39188,0.48530,1.39188
2024-01-06 Kl. 16-17,1.55438,1.45306,1.55438,0.44800,1.55438
2024-01-06 Kl. 17-18,1.67124,1.52358,1.67124,0.50011,1.67124
2024-01-06 Kl. 18-19,1.51114,1.51114,1.51114,0.50057,1.51114
2024-01-06 Kl. 19-20,1.44515,1.44515,1.44515,0.50034,1.44515
2024-01-06 Kl. 20-21,1.34214,1.34214,1.34214,0.52792,1.34214
2024-01-06 Kl. 21-22,1.28066,1.28066,1.28066,0.52792,1.28066
2024-01-06 Kl. 22-23,1.26244,1.26244,1.26244,0.52781,1.26244
2024-01-06 Kl. 23-00,1.17002,1.16479,1.17002,0.49989,1.17002
2024-01-07 Kl. 00-01,1.21998,1.21998,1.21998,0.42404,1.21998
2024-01-07 Kl. 01-02,1.16773,1.16773,1.16773,0.42404,1.16773
2024-01-07 Kl. 02-03,1.12184,1.12184,1.12184,0.42676,1.12184
2024-01-07 Kl. 03-04,1.09791,1.09791,1.09791,0.41520,1.09791
