Dato/klokkeslett,NO1,NO2,NO3,NO4,NO5
2023-07-09 Kl. 03-04,0.72899,1.33831,0.57734,0.29171,0.72899
2023-07-09 Kl. 04-05,0.72536,1.34323,0.56490,0.28662,0.72536
2023-07-09 Kl. 05-06,0.73145,1.35885,0.57850,0.28615,0.73145
2023-07-09 Kl. 06-07,0.79179,1.32745,0.58530,0.28662,0.79179
2023-07-09 Kl. 07-08,0.80944,1.27869,0.58559,0.28569,0.80944
2023-07-09 Kl. 08-09,0.83549,1.20924,0.60050,0.28650,0.83549
2023-07-09 Kl. 09-10,0.86370,1.05325,0.61338,0.28766,0.86370
2023-07-09 Kl. 10-11,0.84995,0.92896,0.61048,0.28685,0.84995
2023-07-09 Kl. 11-12,0.74505,0.74881,0.61916,0.28673,0.74505
2023-07-09 Kl. 12-13,0.66113,0.68239,0.61670,0.28639,0.66113
2023-07-09 Kl. 13-14,0.53524,0.55231,0.53524,0.28569,0.55231
2023-07-09 Kl. 14-15,0.64896,0.66966,0.60990,0.28546,0.64896
2023-07-09 Kl. 15-16,0.79801,0.90986,0.60918,0.28673,0.79801
2023-07-09 Kl. 16-17,0.91739,1.03676,0.60180,0.28685,0.91739
2023-07-09 Kl. 17-18,0.86819,1.23080,0.60079,0.28708,0.86819
2023-07-09 Kl. 18-19,0.86760,1.35524,0.59181,0.28812,0.86760
2023-07-09 Kl. 19-20,0.86760,1.41586,0.59514,0.28847,0.86760
2023-07-09 Kl. 20-21,0.86775,1.41573,0.59775,0.29310,0.86775
2023-07-09 Kl. 21-22,0.86847,1.40935,0.59674,0.29391,0.86847
2023-07-09 Kl. 22-23,0.84619,1.40356,0.59298,0.29379,0.84619
2023-07-09 Kl. 23-00,0.82145,1.40198,0.59080,0.29310,0.82145
2023-07-10 Kl. 00-01,0.81943,1.29374,0.59703,0.29704,0.81943
2023-07-10 Kl. 01-02,0.81465,1.17596,0.58169,0.29622,0.81465
2023-07-10 Kl. 02-03,0.79888,1.12763,0.57662,0.29576,0.79888
2023-07-10 Kl. 03-04,0.80004,1.07598,0.55984,0.29530,0.80004
2023-07-10 Kl. 04-05,0.80191,1.08914,0.55883,0.29565,0.80191
2023-07-10 Kl. 05-06,0.82477,1.14731,0.58154,0.29426,0.82477
2023-07-10 Kl. 06-07,0.86558,1.22964,0.58761,0.29530,0.86558
2023-07-10 Kl. 07-08,0.86775,1.29475,0.58646,0.29611,0.86775
2023-07-10 Kl. 08-09,0.87585,1.33700,0.60585,0.29796,0.87585
2023-07-10 Kl. 09-10,0.89669,1.33556,0.61236,0.29842,0.89669
2023-07-10 Kl. 10-11,0.89684,1.40212,0.61613,0.29866,0.89684
2023-07-10 Kl. 11-12,0.89655,1.30734,0.61655,0.29842,0.89655
2023-07-10 Kl. 12-13,0.89698,1.24715,0.61641,0.29808,0.89698
2023-07-10 Kl. 13-14,0.91044,1.12401,0.61815,0.29785,0.91044
2023-07-10 Kl. 14-15,0.89858,0.99798,0.61597,0.29750,0.89858
2023-07-10 Kl. 15-16,0.89438,0.99755,0.61250,0.29727,0.89438
2023-07-10 Kl. 16-17,0.89770,1.09073,0.60889,0.29704,0.89770
