Tidspunkt,solar_consumption,Verdi,total_consum
2023-08-31,279.80109792668367,753.4,1033.2010979266836
2023-09-01,321.72874494129775,673.9,995.6287449412978
2023-09-02,325.54248950839985,701.7,1027.2424895084
2023-09-03,155.44430334656496,494.1,649.544303346565
2023-09-04,324.42484841379337,707.0,1031.4248484137934
2023-09-05,315.9553461316972,700.1,1016.0553461316972
2023-09-06,146.2351734619588,844.1,990.3351734619588
2023-09-07,144.95152984419818,858.7,1003.6515298441982
2023-09-08,143.61456770636144,862.8,1006.4145677063614
2023-09-09,111.20551690552385,879.5,990.7055169055238
2023-09-10,270.4713921085931,430.0,700.4713921085931
2023-09-11,31.1026051798835,977.8,1008.9026051798835
2023-09-12,267.9977906597777,734.7,1002.6977906597778
2023-09-13,289.31751371012047,675.0,964.3175137101205
2023-09-14,147.78102944383872,790.9,938.6810294438387
2023-09-15,135.64564771903673,840.6,976.2456477190367
2023-09-16,129.43554445775223,837.3000000000001,966.7355444577523
2023-09-17,273.9221081605647,458.0,731.9221081605647
2023-09-18,16.9201511661522,924.9,941.8201511661522
2023-09-19,195.46664186893025,778.3,973.7666418689303
2023-09-20,72.85258635808714,864.7,937.5525863580872
2023-09-21,31.455013067461554,931.0699999999999,962.5250130674615
2023-09-22,199.2769186729566,778.82,978.0969186729567
2023-09-23,183.62303588772198,791.4,975.023035887722
2023-09-24,202.9642831827514,480.5,683.4642831827514
2023-09-25,33.52077992283739,932.7,966.2207799228374
2023-09-26,170.09585760021577,767.6,937.6958576002157
2023-09-27,152.6296257125214,841.9,994.5296257125214
2023-09-28,72.6684983535669,922.0,994.6684983535669
2023-09-29,108.68634055461743,830.8,939.4863405546174
2023-09-30,160.5084237030242,777.7,938.2084237030242
2023-10-01,170.60399733320807,482.2,652.803997333208
2023-10-02,156.22083401144485,777.7,933.9208340114449
2023-10-03,145.5379714553709,788.4,933.9379714553709
2023-10-04,140.0985462197568,813.9,953.9985462197568
2023-10-05,177.11631815228623,771.0,948.1163181522862
2023-10-06,95.36545997089694,852.6,947.965459970897
2023-10-07,139.54596087662512,800.1,939.6459608766252
2023-10-08,170.37005243706517,463.6,633.9700524370652
2023-10-09,140.59093196294256,808.0,948.5909319629426
2023-10-10,59.516446069348554,881.3,940.8164460693486
2023-10-11,152.7072204682045,778.7,931.4072204682045
2023-10-12,120.00653491565012,804.0,924.0065349156501
2023-10-13,19.381512230960645,914.3,933.6815122309606
2023-10-14,114.13530392257972,849.0,963.1353039225797
2023-10-15,141.31890166713862,493.0,634.3189016671386
2023-10-16,147.77502885460845,812.6,960.3750288546084
2023-10-17,73.16994908778003,848.4,921.5699490877801
2023-10-18,96.9761941896287,834.1,931.0761941896287
2023-10-19,84.1334470119328,851.5,935.6334470119328
2023-10-20,74.74827238079166,835.1,909.8482723807917
2023-10-21,28.36906923656351,890.7,919.0690692365636
2023-10-22,31.571532331872728,617.3,648.8715323318727
2023-10-23,64.75216477224599,874.9,939.652164772246
2023-10-24,38.3666850021109,886.9,925.2666850021109
2023-10-26,28.15883164666593,919.87,948.0288316466659
2023-10-27,34.514495307812474,895.56,930.0744953078124
2023-10-28,23.981023473897945,913.4,937.3810234738979
2023-10-29,36.403331674402594,593.6,630.0033316744026
2023-10-30,0.8806405472569171,987.9,988.7806405472569
2023-10-31,0.6187819451297389,975.3000000000001,975.9187819451298
2023-11-01,0.3805967898806548,897.97,898.3505967898807
2023-11-02,0.4059705557301631,937.5,937.9059705557302
2023-11-03,17.29755682009273,932.0,949.2975568200927
2023-11-04,14.27266721054912,926.9,941.1726672105491
2023-11-05,19.054233020404354,560.14,579.1942330204043
2023-11-06,1.4426852980395775,941.6,943.0426852980396
2023-11-07,52.4864094962832,892.1,944.5864094962832
2023-11-08,32.376771055860445,902.6,934.9767710558605
2023-11-09,37.06592706078663,897.4,934.4659270607866
2023-11-10,23.50462519563734,929.3,952.8046251956373
2023-11-11,37.03632719547022,900.2,937.2363271954703
2023-11-12,9.871402996242967,653.3,663.1714029962429
2023-11-13,54.43704439711289,891.4,945.8370443971129
2023-11-14,16.884351537097245,935.7,952.5843515370973
2023-11-15,33.937348232488155,903.1999999999999,937.1373482324881
2023-11-16,14.632073778659107,964.6,979.2320737786591
2023-11-17,32.982846928294734,929.9,962.8828469282947
2023-11-18,39.11970920697785,958.8,997.9197092069778
2023-11-19,13.94530802115334,767.3,781.2453080211533
2023-11-20,7.027978198602793,1093.3,1100.3279781986028
2023-11-21,31.156025517848324,951.4,982.5560255178483
2023-11-22,1.7055490394122899,928.1,929.8055490394123
2023-11-23,36.05355963250623,863.1,899.1535596325062
2023-11-24,33.11852049757726,906.7,939.8185204975773
2023-11-25,29.737343376269568,917.4,947.1373433762695
2023-11-26,17.393491670023657,608.0,625.3934916700236
2023-11-27,11.877409349428497,941.9,953.7774093494285
2023-11-28,12.142811876954509,1023.6999999999999,1035.8428118769543
2023-11-29,3.736027165694388,1067.7,1071.4360271656944
2023-11-30,2.750098913908004,994.8,997.550098913908
2023-12-01,7.054717640159637,1099.8,1106.8547176401596
2023-12-02,8.71365857031196,1055.3,1064.013658570312
2023-12-03,2.65344975562766,826.6,829.2534497556277
2023-12-04,1.4753285766346376,536.2,537.6753285766347
2023-12-07,0.5512008271180078,1039.1,1039.651200827118
2023-12-08,0.5172502716304728,1047.7,1048.2172502716305
2023-12-09,0.0640374994836736,1005.9,1005.9640374994837
2023-12-10,0.0637291672173878,801.4,801.4637291672174
2023-12-11,0.0601369446376328,1064.0,1064.0601369446376
2023-12-12,0.0604105558013535,986.3,986.3604105558013
2023-12-13,0.0601513889851037,1009.1,1009.1601513889851
2023-12-14,0.0594791662879276,1053.7,1053.759479166288
2023-12-15,0.3655977706657717,1029.7,1030.0655977706658
2023-12-16,0.1416391674429166,989.3,989.4416391674429
2023-12-17,8.916913366992963,765.4,774.3169133669929
2023-12-18,17.18942146387417,974.0,991.1894214638742
2023-12-19,22.552589933155097,953.2,975.7525899331551
2023-12-20,15.954648208222347,972.3,988.2546482082223
2023-12-21,0.0593336109304792,1033.2,1033.2593336109305
2023-12-22,0.3582983324304219,994.2,994.5582983324305
2023-12-23,0.7758852852275585,1061.5,1062.2758852852276
2023-12-24,0.0596444447292002,808.5,808.5596444447292
2023-12-25,0.18233388329099298,759.3,759.482333883291
2023-12-26,0.0586158334044729,764.2,764.2586158334045
2023-12-27,0.0592527780681839,1109.8,1109.8592527780681
2023-12-28,0.0582524997880672,1074.9,1074.9582524997882
2023-12-29,0.0580869447439898,1016.3,1016.358086944744
2023-12-30,0.0582288891309862,1011.3,1011.3582288891309
2023-12-31,0.0577894450398152,810.0,810.0577894450398
2024-01-01,0.0580800001043817,756.8,756.8580800001043
2024-01-02,0.0583191665355104,1085.0,1085.0583191665355
